name,score,age_category,sex,email,phone_num
Ben,23,Senior,Gents,email@domain.com,XXXXX XXXXXX
Josh,14,Junior,Gents,email@domain.com,XXXXX XXXXXX
Phoebe,23,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Sam,23,Senior,Gents,email@domain.com,XXXXX XXXXXX
Mathan,6,Junior,Gents,email@domain.com,XXXXX XXXXXX
Teddy,13,Junior,Gents,email@domain.com,XXXXX XXXXXX
William,10,Junior,Gents,email@domain.com,XXXXX XXXXXX
Charlie,12,Junior,Gents,email@domain.com,XXXXX XXXXXX
Charlie,11,Junior,Gents,email@domain.com,XXXXX XXXXXX
David,25,Senior,Gents,email@domain.com,XXXXX XXXXXX
Daniel,25,Senior,Gents,email@domain.com,XXXXX XXXXXX
Harry,24,Junior,Gents,email@domain.com,XXXXX XXXXXX
Charlie,22,Junior,Gents,email@domain.com,XXXXX XXXXXX
Michelle,17,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Elsie,26,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Lola,16,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Charlotte,2,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Josh,22,Senior,Gents,email@domain.com,XXXXX XXXXXX
Riley,12,Junior,Gents,email@domain.com,XXXXX XXXXXX
Alisha,18,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Rosie,9,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Sophie,16,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Danielle,20,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Shona,23,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Colton,25,Junior,Gents,email@domain.com,XXXXX XXXXXX
Oscar,11,Junior,Gents,email@domain.com,XXXXX XXXXXX
Hannah,14,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Rachel,20,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Eddie,14,Junior,Gents,email@domain.com,XXXXX XXXXXX
Hannah,15,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Sophia,20,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Bobby,21,Junior,Gents,email@domain.com,XXXXX XXXXXX
Faith,14,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Austin,9,Junior,Gents,email@domain.com,XXXXX XXXXXX
Amber,19,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Ava,26,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Harry,14,Junior,Gents,email@domain.com,XXXXX XXXXXX
